,case_vignette,choice_1,choice_2,choice_3,choice_4,answer,category,dataset,case_id
3226,"A 51-year-old woman presents the following significant and unintentional weight loss. She denies any personal history of blood clots in her past, but she says that her mother has also had to be treated for pulmonary embolism in the recent past. She also mentions that she had been struggling with her weight, so she was initially content with losing the weight, but her daughter convinced her to come to the office to be checked out. Her past medical history is significant for preeclampsia, hypertension, polycystic ovarian syndrome, and hypercholesterolemia. She currently smokes 1 pack of cigarettes per day, drinks a glass of wine per day, and she currently denies any illicit drug use, although she has a remote past of injection drug use with heroin. The vital signs include: temperature 36.7°C (98.0°F), blood pressure 126/74 mm Hg, heart rate 111/min and irregular, and respiratory rate 17/min. On physical examination, her pulses are bounding and complexion is pale, but breath sounds remain clear. Oxygen saturation was initially 91% on room air and electrocardiogram (ECG) showed atrial fibrillation. Upon further discussion with the patient, her physician discovers that she is having some cognitive difficulty. Her leukocyte count is elevated to 128,000/mm3, and she has elevated lactate dehydrogenase (LDH), uric acid, and B-12 levels. A BCR-ABL translocation is present, as evidenced by the Philadelphia chromosome. What is the most likely diagnosis for this patient?",Chronic myelogenous leukemia,Chronic lymphocytic leukemia,Acute lymphocytic leukemia,Hairy cell leukemia,Chronic myelogenous leukemia,Hematology and Oncology,MedQA_USMLE,case_3226
3227,"A 79-year-old woman presents to her physician complaining of a persistent non-productive cough and dyspnea after contracting a cold in the past month. She describes herself as being “generally healthy” before the cold started. Medical history includes hypertension and hyperlipidemia. The patient takes hydrochlorothiazide, lisinopril, and atorvastatin. Her parents are both deceased. She does not smoke and only drinks alcohol occasionally. During a review of symptoms, she described a month-long trip to St. Louis, Missouri, to visit family. At the physician’s office, her temperature is 37.0°C (98.6°F), pulse is 82/min, respirations are 20/min, and blood pressure is 130/82 mm Hg. A focused chest exam reveals mild crepitus on the right side. A chest X-ray shows a cavitary lesion in the right lung which is confirmed on chest computed tomography (CT). A lung biopsy is performed to rule out cancer and reveals necrotic granulomatous inflammation with oval yeast in macrophages. Which of the following is the most likely diagnosis?",Onychomycosis,Coccidioidomycosis,Histoplasmosis,Sporotrichosis,Histoplasmosis,Infectious Diseases,MedQA_USMLE,case_3227
3228,"A 23-year-old woman presents with fever, chills, nausea, and urinary urgency and frequency. She says that her symptoms began 4 days ago and have progressively worsened. Her past medical history is significant for a 6-month history of recurrent urinary tract infections (UTIs). Her vital signs include: temperature 39.0°C (102.2°F), blood pressure 100/70 mm Hg, pulse 92/min, and respiratory rate 25/min. On physical examination, there is moderate left costovertebral angle tenderness. Laboratory findings are significant for the following:
WBC 8,500/mm3
RBC 4.20 x 106/mm3
Hematocrit 41.5%
Hemoglobin 13.0 g/dL
Platelet count 225,000/mm3
Urinalysis
Color Dark yellow
Clarity Turbid
pH 6.5
Specific gravity 1.026
Glucose None
Ketones None
Nitrites Positive
Leukocyte esterase Positive
Bilirubin Negative
Urobilirubin 0.6 mg/dL
Protein Trace
Blood None
WBC 25/hpf
Bacteria Many
Which of the following is the most likely diagnosis in this patient?",Acute obstructing nephrolithiasis,Uncomplicated cystitis,Pyelonephritis,Complicated cystitis,Pyelonephritis,Renal and Genitourinary System,MedQA_USMLE,case_3228
3229,"A mother brings her 4-year-old boy to the physician, as the boy has a 7-day history of foul-smelling diarrhea, abdominal cramps, and fever. The mother adds that he has been vomiting as well, and she is very much worried. The child is in daycare, and the mother endorses sick contacts with both family and friends. The boy has not been vaccinated as the parents do not think it is necessary. On physical exam, the child appears dehydrated. Stool examination is negative for blood cells, pus, and ova or parasites. What is the most likely diagnosis?",Rotavirus infection,Irritable bowel syndrome,Cryptosporidiosis,C. difficile colitis,Rotavirus infection,Infectious Diseases,MedQA_USMLE,case_3229
3230,"A 40-year-old African American female with a past obstetrical history of para 5, gravida 4 with vaginal birth 4 weeks ago presents with the chief complaint of shortness of breath. On examination, the patient has an elevated jugular venous pressure, an S3, respiratory crackles, and bilateral pedal edema. Chest X-ray shows bronchial cuffing, fluid in the fissure, and a pleural effusion. Her ejection fraction is 38% on echocardiogram. Which of the following is a characteristic of the most likely diagnosis?",Hypertrophy,Ventricular dilatation,Conduction disorder,Pericarditis,Ventricular dilatation,Cardiovascular System,MedQA_USMLE,case_3230
3232,A 2-day-old newborn boy has failed to pass meconium after 48 hours. There is an absence of stool in the rectal vault. Family history is significant for MEN2A syndrome. Which of the following confirms the diagnosis?,Barium enema demonstrating absence of a transition zone,Atrophic nerve fibers and decreased acetylcholinesterase activity,Genetic testing confirming mutation in the RET oncogene,Absence of ganglion cells demonstrated by rectal suction biopsy,Absence of ganglion cells demonstrated by rectal suction biopsy,Pediatrics and Neonatology,MedQA_USMLE,case_3232
3234,"A 52-year-old woman presents to the urgent care center with several hours of worsening abdominal discomfort that radiates to the back. The patient also complains of malaise, chills, nausea, and vomiting. Social history is notable for alcoholism. On physical exam, she is febrile to 39.5°C (103.1℉), and she is diffusely tender on abdominal palpation. Other vital signs include a blood pressure of 126/74 mm Hg, heart rate of 74/min, and respiratory rate of 14/min. Complete blood count is notable for 13,500 white blood cells (WBCs), and her complete metabolic panel shows bilirubin of 2.1 and amylase of 3210. Given the following options, what is the most likely diagnosis?",Cholelithiasis,Gallstone pancreatitis,Choledocholithiasis,Ascending cholangitis,Gallstone pancreatitis,Gastrointestinal System,MedQA_USMLE,case_3234
3236,"A 48-year-old woman presents to an urgent care clinic with the complaints of bloody diarrhea, mid-abdominal discomfort, and cramping for 3 days. She also has nausea, vomiting, and fever. She reports that she had eaten raw oysters at a local seafood restaurant almost 3 days ago, but she denies any other potentially infectious exposures. Her temperature is 37.5°C (99.6°F), respiratory rate is 15/min, pulse is 67/min, and blood pressure is 102/68 mm Hg. Physical examination is non-contributory. What is the most likely diagnosis?",Vibrio parahaemolyticus infection,Bacillus cereus infection,C. difficile colitis,Rotavirus infection,Vibrio parahaemolyticus infection,Gastrointestinal System,MedQA_USMLE,case_3236
3238,"A 51-year-old man alcoholic presents to the emergency department with persistent vomiting. He was found vomiting forcefully next to an empty bottle of vodka. His medical history is significant for Lyme disease, currently being treated with doxycycline. After a prolonged episode of retching, the patient begins choking and coughing forcefully in between bouts of chest pain in the ER. At this point, the patient is unable to communicate. The patient appears toxic. His temperature is 37°C (98.6°F), respiratory rate is 15/min, pulse is 107/min, and blood pressure is 90/68 mm Hg. A quick physical exam reveals fullness at the base of the neck and a crunching, rasping sound on auscultation of the chest. The attending physician orders an upright chest X-ray, showing free mediastinal air. What is the most likely diagnosis?",Boerhaave syndrome,Pill esophagitis,Mallory Weiss tear,Esophageal candidiasis,Boerhaave syndrome,Gastrointestinal System,MedQA_USMLE,case_3238
3242,"A 58-year-old female, being treated on the medical floor for community-acquired pneumonia with levofloxacin, develops watery diarrhea. She reports at least 9 episodes of diarrhea within the last two days, with lower abdominal discomfort and cramping. Her temperature is 98.6° F (37° C), respiratory rate is 15/min, pulse is 67/min, and blood pressure is 122/98 mm Hg. Her physical examination is unremarkable. Laboratory testing shows:
Hb%   13 gm/dL
Total count (WBC):   13,400/mm3
Differential count:    
  Neutrophils: 80%
  Lymphocytes: 15%
  Monocytes: 5%
ESR:   33 mm/hr
What is the most likely diagnosis?",Osmotic diarrhea,Giardiasis,Ulcerative colitis,C. difficile colitis,C. difficile colitis,Gastrointestinal System,MedQA_USMLE,case_3242
3243,"A newborn is evaluated by the on-call pediatrician. She was born at 33 weeks gestation via spontaneous vaginal delivery to a 34-year-old G1P1. The pregnancy was complicated by poorly controlled diabetes mellitus type 2. Her birth weight was 3,700 g and the appearance, pulse, grimace, activity, and respiration (APGAR) scores were 7 and 8 at 1 and 5 minutes, respectively. The umbilical cord had 3 vessels and the placenta was tan-red with all cotyledons intact. Fetal membranes were tan-white and semi-translucent. The normal-appearing placenta and cord were sent to pathology for further evaluation. On physical exam, the newborn’s vital signs include: temperature 36.8°C (98.2°F), blood pressure 60/44 mm Hg, pulse 185/min, and respiratory rate 74/min. She presents with nasal flaring, subcostal retractions, and mild cyanosis. Breath sounds are decreased at the bases of both lungs. Arterial blood gas results include a pH of 6.91, partial pressure of carbon dioxide (PaCO2) 97 mm Hg, partial pressure of oxygen (PaO2) 25 mm Hg, and base excess of 15.5 mmol/L (reference range: ± 3 mmol/L). What is the most likely diagnosis?",Meconium aspiration syndrome,Infant respiratory distress syndrome,Congenital pneumonia,Fetal alcohol syndrome,Infant respiratory distress syndrome,Pediatrics and Neonatology,MedQA_USMLE,case_3243
